Tick,Strategy,Corridor,Agents,Winner,Outcome,Rounds,LoserWait
144,PRIORITY,LOCAL,"['A', 'C']",A,SUCCESS,1,2
147,PRIORITY,LOCAL,"['A', 'C']",A,SUCCESS,1,2
148,PRIORITY,LOCAL,"['A', 'C']",A,SUCCESS,1,2
166,PRIORITY,LOCAL,"['A', 'C']",A,SUCCESS,1,2
167,PRIORITY,LOCAL,"['A', 'C']",A,SUCCESS,1,2
175,PRIORITY,LOCAL,"['B', 'C']",B,SUCCESS,1,2
176,PRIORITY,LOCAL,"['B', 'C']",B,SUCCESS,1,2
1,PRIORITY,LOCAL,"['A', 'B']",A,SUCCESS,1,2
1,PRIORITY,LOCAL,"['A', 'C']",A,SUCCESS,1,2
1,PRIORITY,LOCAL,"['B', 'C']",B,SUCCESS,1,2
2,PRIORITY,LOCAL,"['A', 'B']",A,SUCCESS,1,2
3,PRIORITY,LOCAL,"['A', 'B']",A,SUCCESS,1,2
5,PRIORITY,"(9, 20)","['A', 'C']",A,SUCCESS,1,2
5,PRIORITY,LOCAL,"['A', 'C']",A,SUCCESS,1,2
6,PRIORITY,"(9, 20)","['A', 'C']",A,SUCCESS,1,2
6,PRIORITY,LOCAL,"['A', 'C']",A,SUCCESS,1,2
7,PRIORITY,"(9, 20)","['B', 'C']",C,SUCCESS,1,2
7,PRIORITY,LOCAL,"['A', 'C']",A,SUCCESS,1,2
7,PRIORITY,LOCAL,"['B', 'C']",C,SUCCESS,1,2
8,PRIORITY,"(9, 20)","['B', 'C']",C,SUCCESS,1,2
8,PRIORITY,LOCAL,"['B', 'C']",C,SUCCESS,1,2
160,PRIORITY,LOCAL,"['A', 'C']",A,SUCCESS,1,2
161,PRIORITY,LOCAL,"['A', 'C']",A,SUCCESS,1,2
222,PRIORITY,LOCAL,"['A', 'C']",A,SUCCESS,1,2
223,PRIORITY,LOCAL,"['A', 'C']",A,SUCCESS,1,2
228,PRIORITY,LOCAL,"['A', 'C']",A,SUCCESS,1,2
235,PRIORITY,LOCAL,"['A', 'C']",A,SUCCESS,1,2
236,PRIORITY,LOCAL,"['A', 'C']",A,SUCCESS,1,2
237,PRIORITY,LOCAL,"['A', 'C']",A,SUCCESS,1,2
250,PRIORITY,LOCAL,"['A', 'C']",A,SUCCESS,1,2
251,PRIORITY,LOCAL,"['A', 'C']",A,SUCCESS,1,2
2,PRIORITY,LOCAL,"['B', 'C']",B,SUCCESS,1,2
